filename,opt
G/G1,-12083.19763
G/G2,-12089.42968
G/G3,-12084.33303
G/G4,-12111.45088
G/G5,-12099.88684
G/G14,-3191.566783
G/G15,-3171.558061
G/G16,-3175.018371
G/G17,-3171.32679
G/G22,-14135.94558
G/G23,-14142.1085
G/G24,-14140.85576
G/G25,-14144.24529
G/G26,-14132.87069
G/G35,-8014.739606
G/G36,-8005.963757
G/G37,-8018.623275
G/G43,-7032.221818
G/G44,-7027.884687
G/G45,-7024.781348
G/G46,-7029.932982
G/G47,-7036.660427
G/G48,-5999.999996
G/G49,-5999.999992
G/G50,-5988.172046
G/G51,-4006.25552
G/G52,-4009.638759
G/G53,-4009.71851
G/G54,-4006.194063
